,street_add,city,state,zip,l1_ports,l2_ports,l3_ports,sum_ports,ev_network,longitude,latitude,ev_sockets,geometry,vehicle
0,0130 Daybreak Ridge,Avon,CO,81620,0,3,0,3,Tesla Destination,-106.541101,39.623703,"1, 3",POINT (-106.541101 39.623703),
1,0315 Chambers Ave,Eagle,CO,81631,0,2,0,2,ChargePoint Network,-106.824654,39.661062,1,POINT (-106.824654 39.661062),
2,1 Denver Federal Center,Denver,CO,80225,0,18,0,18,OpConnect,-105.115179,39.719859,1,POINT (-105.115179 39.719859),
3,1 E Memorial Pkwy,Northglenn,CO,80233,0,2,0,2,ChargePoint Network,-104.990135,39.909466,1,POINT (-104.990135 39.909466),
4,1 Eagle Way,Broomfield,CO,80020,0,2,0,2,ChargePoint Network,-105.076121,39.929481,1,POINT (-105.076121 39.929481),
5,1 Lake Ave,Colorado Springs,CO,80906,0,3,0,3,Tesla Destination,-104.850101,38.791226,"1, 3",POINT (-104.850101 38.791226),
6,1 Navajo Hill,Mesa Verde National Park,CO,81330,0,2,0,2,Tesla Destination,-108.494074,37.260149,"1, 3",POINT (-108.494074 37.260149),
7,1 Skier Pl,Durango,CO,81301,0,0,1,1,ChargePoint Network,-107.814236,37.631212,"4, 2",POINT (-107.814236 37.631212),
8,1 Sundown Trail,Nederland,CO,80466,0,2,0,2,ChargePoint Network,-105.517235,39.96969,1,POINT (-105.517235 39.96969),
9,1 Vail Rd,Vail,CO,81657,0,2,0,2,Tesla Destination,-106.379133,39.642952,3,POINT (-106.379133 39.642952),
10,1 West Flatiron Crossing Dr,Broomfield,CO,80021,0,0,4,4,Electrify America,-105.13551,39.93243,"4, 2",POINT (-105.13551 39.93243),
11,100 Bluff St,Lake City,CO,81235,0,0,1,1,ChargePoint Network,-107.319733,38.026382,"4, 2",POINT (-107.319733 38.026382),
12,100 Dercum Square,Keystone,CO,80435,0,2,0,2,ChargePoint Network,-105.943742,39.607611,1,POINT (-105.943742 39.607611),
13,100 Dercum Square,Keystone,CO,80435,0,2,0,2,ChargePoint Network,-105.944085,39.607475,1,POINT (-105.944085 39.607475),
14,100 Jefferson County Parkway,Golden,CO,80401,0,2,0,2,ChargePoint Network,-105.20078,39.727615,1,POINT (-105.20078 39.727615),
15,100 Jefferson County Parkway,Golden,CO,80401,0,2,0,2,ChargePoint Network,-105.20056,39.72791,1,POINT (-105.20056 39.72791),
16,100 Mikaela Way Avon Colorado 81632,Avon,CO,81620,0,2,0,2,ChargePoint Network,-106.525497,39.635864,1,POINT (-106.525497 39.635864),
17,100 Riverine Rd,Glenwood Springs,CO,81601,0,2,0,2,ChargePoint Network,-107.36562,39.560772,1,POINT (-107.36562 39.560772),
18,100 Riverine Road,Glenwood Springs,CO,81601,0,0,1,1,ChargePoint Network,-107.366097,39.560691,2,POINT (-107.366097 39.560691),
19,100 Silver Thread Ln,South Fork,CO,81154,0,2,0,2,ChargePoint Network,-106.642404,37.669381,1,POINT (-106.642404 37.669381),
20,100 South Mason Street,Fort Collins,CO,80524,0,6,0,6,SemaCharge Network,-105.078734,40.586846,1,POINT (-105.078734 40.586846),
21,100 South Park Avenue,Breckenridge,CO,80424,0,2,0,2,ChargePoint Network,-106.048092,39.481671,1,POINT (-106.048092 39.481671),
22,100 Spader Way,Broomfield,CO,80020,0,4,0,4,ChargePoint Network,-105.0658394,39.91629095,1,POINT (-105.0658394 39.91629095),
23,100 W Littleton Blvd,Littleton,CO,80120,0,0,6,6,eVgo Network,-104.988404,39.61241,"4, 2",POINT (-104.988404 39.61241),
24,1000 10th St,Golden,CO,80401,0,2,0,2,ChargePoint Network,-105.225926,39.756445,1,POINT (-105.225926 39.756445),
25,1000 14th St,Denver,CO,80202,0,2,0,2,ChargePoint Network,-104.998184,39.74517,1,POINT (-104.998184 39.74517),
26,1000 Berthoud Pkwy,Berthoud,CO,80513,0,2,0,2,ChargePoint Network,-105.091858,40.311624,1,POINT (-105.091858 40.311624),
27,1000 Berthoud Pkwy,Berthoud,CO,80513,0,0,1,1,ChargePoint Network,-105.091856,40.311796,"4, 2",POINT (-105.091856 40.311796),
28,1000 High Point Dr,Steamboat Springs,CO,80487,0,6,0,6,Tesla Destination,-106.824093,40.469556,"1, 3",POINT (-106.824093 40.469556),
29,1000 Judicial Center Dr,Brighton,CO,80601,0,2,0,2,ChargePoint Network,-104.760061,39.971763,1,POINT (-104.760061 39.971763),
30,1000 N 3rd St,Aspen,CO,81611,0,2,0,2,ChargePoint Network,-106.826771,39.19996,1,POINT (-106.826771 39.19996),
31,1000 Rush Dr,Salida,CO,81201,0,1,0,1,Non-Networked,-106.008655,38.542959,1,POINT (-106.008655 38.542959),
32,1000 Speer Blvd,Denver,CO,80204,0,2,0,2,ChargePoint Network,-104.991825,39.732487,1,POINT (-104.991825 39.732487),
33,1000 Speer Blvd,Denver,CO,80204,0,2,0,2,ChargePoint Network,-104.991871,39.732512,1,POINT (-104.991871 39.732512),
34,1000 Speer Blvd,Denver,CO,80204,0,2,0,2,ChargePoint Network,-104.991927,39.732554,1,POINT (-104.991927 39.732554),
35,1000 Speer Blvd,Denver,CO,80204,0,2,0,2,ChargePoint Network,-104.991886,39.73243,1,POINT (-104.991886 39.73243),
36,1000 W 10th Ave,Broomfield,CO,80020,0,2,0,2,ChargePoint Network,-105.081111,39.928145,1,POINT (-105.081111 39.928145),
37,10001 E Costilla Ave,Greenwood Village,CO,80112,0,2,0,2,ChargePoint Network,-104.87218,39.5916,1,POINT (-104.87218 39.5916),
38,10003 Commons St,Lone Tree,CO,80124,0,0,1,1,ChargePoint Network,-104.8827,39.534177,"4, 2",POINT (-104.8827 39.534177),
39,1001 - 17th Street,Denver,CO,80202,0,3,0,3,SemaCharge Network,-104.99374,39.748752,1,POINT (-104.99374 39.748752),
40,10030 E Arapahoe Rd,Centennial,CO,80112,0,2,1,3,Non-Networked,-104.872435,39.594525,"4, 1, 2",POINT (-104.872435 39.594525),
41,1005 Ken Pratt Blvd,Longmont,CO,80501,0,1,1,2,Non-Networked,-105.108644,40.151989,"4, 1, 2",POINT (-105.108644 40.151989),
42,10051 Wadsworth Pkwy,Westminster,CO,80021,0,2,0,2,Non-Networked,-105.097595,39.878705,1,POINT (-105.097595 39.878705),
43,101 6th St,Frederick,CO,80530,0,2,0,2,Non-Networked,-104.9411,40.098005,1,POINT (-104.9411 40.098005),
44,101 8th St,Glenwood Springs,CO,81601,0,2,0,2,ChargePoint Network,-107.327827,39.54706,1,POINT (-107.327827 39.54706),
45,101 East Baseline Road,Lafayette,CO,80026,0,2,0,2,ChargePoint Network,-105.090002,40.001163,1,POINT (-105.090002 40.001163),
46,101 Englewood Pkwy,Englewood,CO,80110,0,0,4,4,Electrify America,-104.98909,39.65515,"4, 2",POINT (-104.98909 39.65515),
47,101 Fawcett Rd,Avon,CO,81620,0,4,0,4,Non-Networked,-106.502243,39.627988,1,POINT (-106.502243 39.627988),
48,101 Ruby Ranch Road,Silverthorne,CO,80498,0,0,8,8,Tesla,-106.0800734,39.64591144,3,POINT (-106.0800734 39.64591144),
49,101 Stegosaurus Fwy,Dinosaur,CO,81610,0,0,1,1,ChargePoint Network,-109.009012,40.245184,"4, 2",POINT (-109.009012 40.245184),
50,1010 Meadow Dr,Frisco,CO,80443,0,2,0,2,ChargePoint Network,-106.097483,39.588839,1,POINT (-106.097483 39.588839),
51,1010 Meadow Dr,Frisco,CO,80443,0,1,0,1,ChargePoint Network,-106.09746,39.58872,1,POINT (-106.09746 39.58872),
52,1010 Meadow Dr,Frisco,CO,80443,0,2,0,2,ChargePoint Network,-106.0975,39.5889,1,POINT (-106.0975 39.5889),
53,1010 Meadow Dr,Frisco,CO,80443,0,2,0,2,ChargePoint Network,-106.09751,39.58895,1,POINT (-106.09751 39.58895),
54,1010 Meadow Drive,Frisco,CO,80443,0,2,0,2,ChargePoint Network,-106.09747,39.588776,1,POINT (-106.09747 39.588776),
55,1010 Three Springs Avenue,Durango,CO,81301,0,2,0,2,ChargePoint Network,-107.825745,37.235105,1,POINT (-107.825745 37.235105),
56,1010 Three Springs Avenue,Durango,CO,81301,0,2,0,2,ChargePoint Network,-107.825725,37.235102,1,POINT (-107.825725 37.235102),
57,101-149  Richmond Avenue,Pueblo,CO,81003,0,0,12,12,Tesla,-104.609245,38.26698,3,POINT (-104.609245 38.26698),
58,"10155 Westmoor Drive
#105",Westminster,CO,80021,0,4,0,4,SemaCharge Network,-105.111369,39.897683,1,POINT (-105.111369 39.897683),
59,102 S Victoria Ave,Pueblo,CO,81003,0,2,0,2,ChargePoint Network,-104.613567,38.265439,1,POINT (-104.613567 38.265439),
60,102 S Victoria Ave,Pueblo,CO,81003,0,2,0,2,ChargePoint Network,-104.613568,38.265447,1,POINT (-104.613568 38.265447),
61,1020 Motor City Dr,Colorado Springs,CO,80905,0,2,2,4,EVGATEWAY,-104.8308968,38.8140221,"4, 1",POINT (-104.8308968 38.8140221),
62,10209 CO-135,Almont,CO,81210,0,2,0,2,ChargePoint Network,-106.847254,38.664867,1,POINT (-106.847254 38.664867),
63,1024 S Lemay Ave,Fort Collins,CO,80524,0,4,0,4,SemaCharge Network,-105.056429,40.573131,1,POINT (-105.056429 40.573131),
64,10240 Park Meadows Dr,Lone Tree,CO,80124,0,8,0,8,SemaCharge Network,-104.873023,39.545063,1,POINT (-104.873023 39.545063),
65,10258 E I-25 Frontage Rd,Longmont,CO,80504,0,0,1,1,Non-Networked,-104.9785124,40.14967741,"4, 2",POINT (-104.9785124 40.14967741),
66,1029 Park Ave,Grand Lake,CO,80447,0,0,1,1,ChargePoint Network,-105.818239,40.252214,"4, 2",POINT (-105.818239 40.252214),
67,1029 Park Ave,Grand Lake,CO,80447,0,0,1,1,ChargePoint Network,-105.818185,40.252214,"4, 2",POINT (-105.818185 40.252214),
68,1030 S Colorado Blvd,Denver,CO,80246,0,0,1,1,ChargePoint Network,-104.940317,39.697923,2,POINT (-104.940317 39.697923),
69,1030 S Colorado Blvd,Denver,CO,80246,0,2,0,2,ChargePoint Network,-104.940368,39.697924,1,POINT (-104.940368 39.697924),
70,10300 South Boulder Road,Lafayette,CO,80026,0,2,0,2,ChargePoint Network,-105.111654,39.985633,1,POINT (-105.111654 39.985633),
71,10346 Park Meadows Drive,Lone Tree,CO,80124,0,5,0,5,Blink Network,-104.8720521,39.5423185,1,POINT (-104.8720521 39.5423185),
72,1035 Birch Street,Broomfield,CO,80020,0,2,0,2,ChargePoint Network,-105.059324,39.93097,1,POINT (-105.059324 39.93097),
73,1035 Osage St,Denver,CO,80204,0,1,0,1,ChargePoint Network,-105.005413,39.732843,1,POINT (-105.005413 39.732843),
74,1035 Osage St,Denver,CO,80204,0,1,0,1,ChargePoint Network,-105.005411,39.732901,1,POINT (-105.005411 39.732901),
75,10350 Park Meadows Dr,Lone Tree,CO,80124,0,2,0,2,ChargePoint Network,-104.87275,39.541508,1,POINT (-104.87275 39.541508),
76,10350 Park Meadows Dr Floor B,Lone Tree,CO,80124,0,2,0,2,ChargePoint Network,-104.87282,39.54161,1,POINT (-104.87282 39.54161),
77,104 Society Dr,Telluride,CO,81435,0,2,0,2,ChargePoint Network,-107.873351,37.947213,1,POINT (-107.873351 37.947213),
78,1040 Independent Ave.,Grand Junction,CO,81505,0,0,4,4,Electrify America,-108.58333,39.08244,"4, 2",POINT (-108.58333 39.08244),
79,10401 E Arapahoe Rd,Centennial,CO,80111,0,1,0,1,Non-Networked,-104.867972,39.595975,1,POINT (-104.867972 39.595975),
80,10406 Martin Luther King Blvd,Denver,CO,80238,0,0,6,6,eVgo Network,-104.8663684,39.7590007,"4, 2",POINT (-104.8663684 39.7590007),
81,1041 Main Street,Longmont,CO,80501,0,1,0,1,SemaCharge Network,-105.102467,40.176886,1,POINT (-105.102467 40.176886),
82,10468 Sunlight Dr,Lafayette,CO,80026,0,2,0,2,ChargePoint Network,-105.109716,40.063028,1,POINT (-105.109716 40.063028),
83,1048 Pearl St,Boulder,CO,80302,0,1,0,1,ChargePoint Network,-105.281921,40.017381,1,POINT (-105.281921 40.017381),
84,1048 Pearl St,Boulder,CO,80302,0,1,0,1,ChargePoint Network,-105.281911,40.017356,1,POINT (-105.281911 40.017356),
85,1048 Pearl St,Boulder,CO,80302,0,1,0,1,ChargePoint Network,-105.281803,40.017389,1,POINT (-105.281803 40.017389),
86,10495 South Progress Way,Parker,CO,80134,0,2,0,2,SemaCharge Network,-104.76978,39.526012,1,POINT (-104.76978 39.526012),
87,105 Dales Pl,Fort Lupton,CO,80621,0,2,0,2,Tesla Destination,-104.80454,40.08070911,3,POINT (-104.80454 40.08070911),
88,"1050 Curtis Street, Denver, CO 80202",Denver,CO,80202,0,1,0,1,SemaCharge Network,-104.989886,39.747523,1,POINT (-104.989886 39.747523),
89,1050 Walnut Street,Boulder,CO,80302,0,2,0,2,SemaCharge Network,-105.281381,40.016282,1,POINT (-105.281381 40.016282),
90,1055 13th St,Denver,CO,80204,0,2,1,3,Non-Networked,-104.998075,39.743919,"4, 1, 2",POINT (-104.998075 39.743919),
91,10585 Mountain Vista Ridge,Highlands Ranch,CO,80126,0,2,0,2,ChargePoint Network,-104.964708,39.521561,1,POINT (-104.964708 39.521561),
