,vehicle,seed,sum_ports,fal_typ,geometry,longitude,latitude
0,10,951724,4,Chargers out of range,POINT (-108.75281 40.90217),-108.75281,40.90217
1,10,951748,4,Chargers out of range,POINT (-102.96481 37.2792),-102.96481,37.2792
2,10,951750,4,Chargers out of range,POINT (-108.74655 40.70885),-108.74655,40.70885
3,10,951754,4,Chargers out of range,POINT (-108.51868 40.63902),-108.51868,40.63902
4,10,951802,4,Chargers out of range,POINT (-108.46889 40.67689),-108.46889,40.67689
5,10,951896,4,Chargers out of range,POINT (-108.74835 40.90696),-108.74835,40.90696
6,10,951907,4,Chargers out of range,POINT (-108.8324 40.76177),-108.8324,40.76177
7,10,951938,4,Chargers out of range,POINT (-108.75235 40.89871),-108.75235,40.89871
8,10,951941,4,Chargers out of range,POINT (-102.54782 38.69373),-102.54782,38.69373
9,10,951972,4,Chargers out of range,POINT (-103.03164 37.23567),-103.03164,37.23567
10,10,951973,4,Chargers out of range,POINT (-108.55071 41.01078),-108.55071,41.01078
11,10,951998,4,Chargers out of range,POINT (-108.55549 40.64791),-108.55549,40.64791
12,10,952000,4,Chargers out of range,POINT (-102.09021 38.85086),-102.09021,38.85086
13,10,952008,4,Chargers out of range,POINT (-102.90673 37.27935),-102.90673,37.27935
14,10,952015,4,Chargers out of range,POINT (-103.61158 37.21928),-103.61158,37.21928
15,10,952022,4,Chargers out of range,POINT (-106.46562 40.88517),-106.46562,40.88517
16,10,952366,4,Chargers out of range,POINT (-103.53784 37.0203),-103.53784,37.0203
17,10,952431,4,Chargers out of range,POINT (-108.57523 40.65359),-108.57523,40.65359
18,10,952472,4,Chargers out of range,POINT (-108.54151 40.64256),-108.54151,40.64256
19,10,952541,4,Chargers out of range,POINT (-103.25409 37.04411),-103.25409,37.04411
20,10,952561,4,Chargers out of range,POINT (-108.41995 40.91692),-108.41995,40.91692
21,10,952566,4,Chargers out of range,POINT (-108.61867 40.68102),-108.61867,40.68102
22,10,952637,4,Chargers out of range,POINT (-108.83329 40.74861),-108.83329,40.74861
23,10,952668,4,Chargers out of range,POINT (-103.12971 37.17933),-103.12971,37.17933
24,10,952687,4,Chargers out of range,POINT (-102.76012 37.07816),-102.76012,37.07816
25,10,952701,4,Chargers out of range,POINT (-108.48355 40.95354),-108.48355,40.95354
26,10,952702,4,Chargers out of range,POINT (-108.75322 40.89961),-108.75322,40.89961
27,10,952722,4,Chargers out of range,POINT (-103.03147 37.17593),-103.03147,37.17593
28,10,952745,4,Chargers out of range,POINT (-108.38269 40.65518),-108.38269,40.65518
29,10,952760,4,Chargers out of range,POINT (-103.25409 37.04411),-103.25409,37.04411
30,10,952781,4,Chargers out of range,POINT (-108.75093 40.9039),-108.75093,40.9039
