,vehicle,seed,sum_ports,fal_typ,geometry
0,10,951724,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B1D00>
1,10,951748,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B1DC0>
2,10,951750,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B1E80>
3,10,951754,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B1F40>
4,10,951802,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6040>
5,10,951896,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6100>
6,10,951907,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B61C0>
7,10,951938,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6280>
8,10,951941,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6340>
9,10,951972,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6400>
10,10,951973,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B64C0>
11,10,951998,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6580>
12,10,952000,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6640>
13,10,952008,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6700>
14,10,952015,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B67C0>
15,10,952022,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6880>
16,10,952366,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6940>
17,10,952431,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6A00>
18,10,952472,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6AC0>
19,10,952541,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6B80>
20,10,952561,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6C40>
21,10,952566,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6D00>
22,10,952637,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6DC0>
23,10,952668,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6E80>
24,10,952687,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B6F40>
25,10,952701,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9040>
26,10,952702,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9100>
27,10,952722,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B91C0>
28,10,952745,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9280>
29,10,952760,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9340>
30,10,952781,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9400>
31,10,952792,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B94C0>
32,10,952814,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9580>
33,10,952852,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9640>
34,10,952880,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9700>
35,10,952933,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B97C0>
36,10,952964,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9880>
37,10,952987,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9940>
38,10,953028,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9A00>
39,10,953091,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9AC0>
40,10,953189,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9B80>
41,10,953191,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9C40>
42,10,953195,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9D00>
43,10,953301,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9DC0>
44,10,953321,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9E80>
45,10,953431,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359B9F40>
46,10,953481,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359BD040>
47,10,953504,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359BD100>
48,10,953545,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359BD1C0>
49,10,953562,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359BD280>
50,10,953716,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359BD340>
51,10,953736,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359BD400>
52,10,953797,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359BD4C0>
53,10,953800,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359BD580>
54,10,953816,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359BD640>
55,10,953818,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359BD700>
56,10,953819,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359BD7C0>
57,10,953863,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359BD880>
58,10,953871,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359BD940>
59,10,953890,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359BDA00>
60,10,953900,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359BDAC0>
61,10,953906,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213359BDB80>
62,10,953999,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D83370>
63,10,954091,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D83430>
64,10,954093,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D834F0>
65,10,954117,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D835B0>
66,10,954139,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D83670>
67,10,954157,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D83730>
68,10,954189,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D837F0>
69,10,954208,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D838B0>
70,10,954225,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D83970>
71,10,954232,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D83A30>
72,10,954278,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D83AF0>
73,10,954346,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D83BB0>
74,10,954402,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D83C70>
75,10,954473,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D83D30>
76,10,954637,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D83DF0>
77,10,954656,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D83EB0>
78,10,954710,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D83F70>
79,10,954725,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D87070>
80,10,954788,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D87130>
81,10,954818,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D871F0>
82,10,954825,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D872B0>
83,10,954847,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D87370>
84,10,954876,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D87430>
85,10,954928,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D874F0>
86,10,954945,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D875B0>
87,10,954959,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D87670>
88,10,954990,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D87730>
89,10,955000,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D877F0>
90,10,955026,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D878B0>
91,10,955031,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D87970>
92,10,955107,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D87A30>
93,10,955144,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D87AF0>
94,10,955146,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D87BB0>
95,10,955191,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D87C70>
96,10,955218,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D87D30>
97,10,955263,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D87DF0>
98,10,955308,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D87EB0>
99,10,955339,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D87F70>
100,10,955343,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8F070>
101,10,955350,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8F130>
102,10,955372,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8F1F0>
103,10,955380,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8F2B0>
104,10,955401,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8F370>
105,10,955413,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8F430>
106,10,955420,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8F4F0>
107,10,955503,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8F5B0>
108,10,955513,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8F670>
109,10,955528,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8F730>
110,10,955593,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8F7F0>
111,10,955615,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8F8B0>
112,10,955624,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8F970>
113,10,955642,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8FA30>
114,10,955687,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8FAF0>
115,10,955688,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8FBB0>
116,10,955697,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8FC70>
117,10,955737,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8FD30>
118,10,955773,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8FDF0>
119,10,955839,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8FEB0>
120,10,955952,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D8FF70>
121,10,955956,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D92070>
122,10,955965,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D92130>
123,10,955968,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D921F0>
124,10,956003,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D922B0>
125,10,956013,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D92370>
126,10,956026,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D92430>
127,10,956052,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D924F0>
128,10,956064,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D925B0>
129,10,956069,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D92670>
130,10,956096,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D92730>
131,10,956140,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335D927F0>
132,10,956203,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335F8FE80>
133,10,956207,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021335F8FF40>
134,10,956214,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605F040>
135,10,956276,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605F100>
136,10,956417,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605F1C0>
137,10,956484,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605F280>
138,10,956545,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605F340>
139,10,956596,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605F400>
140,10,956635,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605F4C0>
141,10,956677,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605F580>
142,10,956748,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605F640>
143,10,956807,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605F700>
144,10,956853,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605F7C0>
145,10,956902,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605F880>
146,10,956904,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605F940>
147,10,956914,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605FA00>
148,10,956978,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605FAC0>
149,10,956979,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605FB80>
150,10,957026,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605FC40>
151,10,957068,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605FD00>
152,10,957141,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605FDC0>
153,10,957240,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605FE80>
154,10,957244,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133605FF40>
155,10,957254,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063040>
156,10,957273,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063100>
157,10,957463,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213360631C0>
158,10,957468,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063280>
159,10,957469,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063340>
160,10,957529,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063400>
161,10,957554,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213360634C0>
162,10,957600,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063580>
163,10,957603,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063640>
164,10,957638,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063700>
165,10,957642,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x00000213360637C0>
166,10,957676,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063880>
167,10,957749,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063940>
168,10,957789,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063A00>
169,10,957825,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063AC0>
170,10,957848,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063B80>
171,10,957920,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063C40>
172,10,957988,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063D00>
173,10,958007,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063DC0>
174,10,958029,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063E80>
175,10,958042,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x0000021336063F40>
176,10,958076,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133606B040>
177,10,958086,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133606B100>
178,10,958110,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133606B1C0>
179,10,958158,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133606B280>
180,10,958173,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133606B340>
181,10,958260,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133606B400>
182,10,958261,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133606B4C0>
183,10,958274,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133606B580>
184,10,958314,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133606B640>
185,10,958337,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133606B700>
186,10,958339,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133606B7C0>
187,10,958340,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002133606B880>
